DHB ratio,velocity
0.297224141,0.52
0.292138566,0.204
0.2829229,0.065
0.245988611,0.258
0.279012814,0.323
0.306142999,0
0.322416115,0.755
0.392445676,1.428
0.401193904,0.777
0.441035072,1.241
0.386156738,0.735
0.351915897,1.442
0.297304697,1.095
