timepoint, 573 DHB ratio, 573 Velocity average,736 DHB ratio,736 Velocity average
T109,0.3272222822,0.5956666667,0.3287226667,NA
T110,0.3188128953,0.2626666667,0.2709395,NA
T111,0.353486069,0.8043333333,0.321909,NA
T112,0.2740307453,0.461,0.275958,NA
T113,0.3508808383,0.9145,0.2705955,NA
T114,0.308697319,0.1615,0.266244,NA
T115,0.3902953538,0.41,0.200189,NA
T116,0.3540501153,1.0315,0.26328,NA
T117,0.3800824116,0.809,0.224271,NA
T118,0.317702859,0.6925,0.229348,NA
T119,0.3554583888,0.584,0.216033,NA
T120,0.3230532556,1.186,0.207886,NA
T121,0.297304697,0.6845,0.208468,NA
T122,0.3103757307,0.323,0.231371,NA
T123,0.289532235,0.408,0.183161,NA
T124,0.2539299015,0.233,0.2400978323,1.371
T125,0.2685304375,0.091,0.2105711303,1.095
T126,0.2674346165,0.323,0.214729045,1.632
T127,0.3114242315,0.144,0.2251708543,1.442
T128,0.3471624533,0.323,0.2475437133,0.065
T129,0.304572936,0.392,0.247500375,1.367
T130,0.2631557255,0.841,0.2598437137,0.721
T131,0.3581106533,0.144,0.2305035,1.884
T132,0.2894144753,0.323,0.273844,0.065
T133,0.3044181713,0,0.2569477263,0.861
T134,0.2703679435,0,0.2454910993,0.968
T135,0.2612883193,0.433,0.2595595223,0.841
T136,0.233692786,0.347,0.266568,0.065
T137,0.3633895045,0.712,0.2420141943,1.845
T138,0.2543245315,0.456,0.2746984577,0.551
T139,0.3498873075,0.144,0.2741719977,0.376
T140,0.3331946093,0.144,0.2535127377,0.584
T141,0.335650258,0.233,0.273565327,0.52
T142,0.341091275,0.959,0.2957662507,1.613
T143,0.3220506933,0.664,0.2564778403,1.141
T144,0.3062731303,0.532,0.2971586413,0.329
T145,0.2965598283,6.317,0.314266,2.235
T146,0.224060811,6.584,0.258001942,1.799
T147,0.3220193147,1.642,0.271299199,3.345
T148,0.2669164173,0.898,0.375525,1.914
T149,0.2607231335,0.721,0.298115,1.184
T150,0.287389278,0.065,0.319748,4.192
T151,0.2603581495,3.993,0.30543,0.233
T152,0.22865096,2.885,0.330802,3.395
T153,0.2892731365,0.787,0.318258,3.744
T154,0.329891014,0.194,0.348523,1.05
T155,0.3131518737,0.555,0.338483,4.863
T156,0.320489467,4.03,0.357586,7.521
T157,0.247375073,4.569,0.315286,3.097
T158,0.1865235,0.347,0.354051,1.833
T159,0.234200908,8.028,0.341495,1.042
T160,0.2954777885,8.401,0.283728,2.135
T161,0.2881063695,4.842,0.378453,2.239
T162,0.274260855,1.593,0.386807,0.194
T163,0.2936556515,0.695,0.326293,1.449
T164,0.293931674,0.985,0.327846,0.865
T165,0.3288094945,1.924,0.391634,0.985
T166,0.205631208,3.473,0.291681,0.433
T167,0.2813046105,0,0.331974,0.258
T168,0.276510147,0,0.35295,0.71
T169,0.277563483,4.386,0.356727,1.871
T170,0.323521914,1.342,0.435311,1.472
T171,0.28433842,7.266,0.386431,1.991
T172,0.310520583,2.025,0.395605,2.326
T173,0.301596113,4.521,0.381424,0.52
T174,0.290022951,1.653,0.383569,3.89
T175,0.2756682245,0.785,0.530759,1.189
T176,0.292492343,0.658,0.357768,1.905
T177,0.29732107,0.848,0.3843324575,0.639
T178,0.332475888,2.312,0.3385150875,2.007
T179,0.2912342775,4.882,0.3965227375,1.323
T180,NA,2.236,0.530758,NA
T181,0.325956246,2.761,0.40558,NA
T182,0.297530962,5.451,0.398207338,NA
T183,NA,3.837,0.43581,NA
T184,0.308459865,1.271,0.479216,NA
T185,0.281624753,0.456,NA,NA
T186,0.260581608,0.673,0.512743,NA
T187,NA,0,0.403134,NA
T188,0.280239037,0.065,0.487636,NA
T189,0.297490864,0.182,0.492264,NA
T190,0.322801517,4.424,0.512722,NA
T191,0.36241925,3.897,0.470945,NA
T192,0.249343327,2.28,NA,NA
T193,0.271531672,0.233,NA,NA
T194,0.308727961,0.664,0.584719,NA
T195,NA,1.86,NA,NA
T196,0.263763633,1.328,NA,NA
T197,0.307311672,0.877,NA,NA
T198,0.322988677,0.952,NA,NA
T199,NA,0.952,NA,NA
T200,0.299272297,0.848,NA,NA
T201,0.349076467,0.903,NA,NA
T202,0.333929619,2.144,NA,NA
T203,0.369507841,2.452,NA,NA
T204,0.221943045,NA,NA,NA
T205,0.287127013,NA,NA,NA
T206,0.249788394,NA,NA,NA
T207,0.364729959,NA,NA,NA
T208,NA,NA,NA,NA
T209,0.263703824,NA,NA,NA
T210,0.220521323,NA,NA,NA
T211,0.332715844,NA,NA,NA
T212,NA,NA,NA,NA
T213,0.279710053,NA,NA,NA
T214,0.326922103,NA,NA,NA
